experiment,model,loss,optimizer,scheduler,best_val_accuracy,test_accuracy
vgg16_BCE_Adam_None,vgg16,BCE,Adam,None,0.8637532423593098,0.8631482860505898
vgg16_MSE_Adam_None,vgg16,MSE,Adam,None,0.4023006653885193,0.40296427970885684
resnet50_BCE_Adam_None,resnet50,BCE,Adam,None,0.9704635164091576,0.9699007903144443
vgg16_BCE_SGD_StepLR,vgg16,BCE,SGD,StepLR,0.9576745235141536,0.9554637392202552
vgg16_BCE_SGD_ReduceLROnPlateau,vgg16,BCE,SGD,ReduceLROnPlateau,0.9606180218788768,0.9595234091618824
